# time (sec)	countrate
0.062499974      1064.00
 0.18749992      1856.00
 0.31249987      1352.00
 0.43749982      2976.00
 0.56249977      2704.00
 0.68749974      2104.00
 0.81249968      1752.00
 0.93750027      744.000
  1.0625002      1392.00
  1.1875002      1048.00
  1.3125001      1048.00
  1.4375001      1096.00
  1.5625000      1120.00
  1.6875000      2272.00
  1.8124999      2224.00
  1.9374999      1560.00
  2.0624999      728.000
  2.1874997      624.000
  2.3124997      1424.00
  2.4374997      976.000
  2.5625002      1184.00
  2.6875002      1328.00
  2.8125002      2208.00
  2.9375002      3288.00
  3.0625000      2848.00
  3.1875000      2656.00
  3.3125000      1192.00
  3.4375000      904.000
  3.5624997      2144.00
  3.6874997      1432.00
  3.8124997      1208.00
  3.9374997      1472.00
  4.0625005      1944.00
  4.1875005      3808.00
  4.3125000      3200.00
  4.4375000      2608.00
  4.5625000      1032.00
  4.6875000      824.000
  4.8125000      1032.00
  4.9375000      1368.00
  5.0625000      1480.00
  5.1875000      1088.00
  5.3125000      2360.00
  5.4375000      4232.00
  5.5624995      2408.00
  5.6875005      1216.00
  5.8125005      768.000
  5.9375000      832.000
  6.0625000      1176.00
  6.1875000      1360.00
  6.3125000      1488.00
  6.4375000      1016.00
  6.5625000      2240.00
  6.6875000      3344.00
  6.8125000      2064.00
  6.9375000      1960.00
  7.0624995      720.000
  7.1874995      904.000
  7.3125005      1872.00
  7.4375000      1352.00
  7.5625000      1120.00
  7.6875000      1128.00
  7.8125000      2136.00
  7.9375000      2832.00
  8.0625000      1888.00
  8.1875000      2120.00
  8.3125000      664.000
  8.4375000      808.000
  8.5625000      1160.00
  8.6875000      1200.00
  8.8125000      1280.00
  8.9375000      968.000
  9.0625000      2544.00
  9.1875000      2872.00
  9.3125000      1936.00
  9.4375000      2112.00
  9.5625000      744.000
  9.6875000      744.000
  9.8125000      1224.00
  9.9375000      1320.00
  10.062500      1240.00
  10.187500      1120.00
  10.312500      2088.00
  10.437500      2576.00
  10.562500      1552.00
  10.687500      1096.00
  10.812500      528.000
  10.937500      608.000
  11.062500      1056.00
  11.187500      1000.00
  11.312500      960.000
  11.437500      1624.00
  11.562500      3456.00
  11.687500      3824.00
  11.812500      2288.00
  11.937500      1224.00
  12.062500      912.000
  12.187500      1336.00
  12.312500      1616.00
  12.437500      1376.00
  12.562500      1504.00
  12.687500      1640.00
  12.812500      2400.00
  12.937500      2016.00
  13.062500      1712.00
  13.187500      1176.00
  13.312500      776.000
  13.437500      1272.00
  13.562500      1384.00
  13.687500      1312.00
  13.812500      1336.00
  13.937500      1920.00
  14.062500      3528.00
  14.187500      2608.00
  14.312500      2232.00
  14.437500      1280.00
  14.562500      912.000
  14.687500      1120.00
  14.812500      1256.00
  14.937500      1256.00
  15.062500      1464.00
  15.187500      2320.00
  15.312500      2920.00
  15.437500      3064.00
  15.562500      2488.00
  15.687500      1168.00
  15.812500      1320.00
  15.937500      1256.00
  16.062500      1072.00
  16.187500      1000.00
  16.312500      912.000
  16.437500      1968.00
  16.562500      3640.00
  16.687500      3328.00
  16.812500      2752.00
  16.937500      1040.00
  17.062500      912.000
  17.187500      1024.00
  17.312500      1328.00
  17.437500      1152.00
  17.562500      1112.00
  17.687500      1608.00
  17.812500      3408.00
  17.937500      2232.00
  18.062500      1896.00
  18.187500      960.000
  18.312500      1384.00
  18.437500      1288.00
  18.562500      1256.00
  18.687500      1696.00
  18.812500      1792.00
  18.937500      2432.00
  19.062500      3192.00
  19.187500      2048.00
  19.312500      1624.00
  19.437500      840.000
  19.562500      1224.00
  19.687500      1480.00
  19.812500      1088.00
  19.937500      928.000
  20.062500      1032.00
  20.187500      2656.00
  20.312500      3256.00
  20.437500      1600.00
  20.562500      1664.00
  20.687500      456.000
  20.812500      1432.00
  20.937500      912.000
  21.062500      904.000
  21.187500      920.000
  21.312500      992.000
  21.437500      3496.00
  21.562500      4448.00
  21.687500      2552.00
  21.812500      2000.00
  21.937500      656.000
  22.062500      1368.00
  22.187500      1256.00
  22.312500      1376.00
  22.437500      1168.00
  22.562500      1520.00
  22.687500      3088.00
  22.812500      3640.00
  22.937500      2040.00
  23.062500      2200.00
  23.187500      680.000
  23.312500      1664.00
  23.437500      1160.00
  23.562500      1248.00
  23.687500      1360.00
  23.812500      1360.00
  23.937500      3080.00
  24.062500      3056.00
  24.187500      2384.00
  24.312500      1376.00
  24.437500      872.000
  24.562500      1632.00
  24.687500      1296.00
  24.812500      1120.00
  24.937500      1400.00
  25.062500      1448.00
  25.187500      2472.00
  25.312500      2632.00
  25.437500      1768.00
  25.562500      1720.00
  25.687500      648.000
  25.812500      1496.00
  25.937500      1000.00
  26.062500      1104.00
  26.187500      1320.00
  26.312500      2144.00
  26.437500      3712.00
  26.562500      3224.00
  26.687500      2224.00
  26.812500      968.000
  26.937500      760.000
  27.062500      1656.00
  27.187500      1104.00
  27.312500      1256.00
  27.437500      1672.00
  27.562500      1504.00
  27.687500      3888.00
  27.812500      2976.00
  27.937500      2272.00
  28.062500      960.000
  28.187500      808.000
  28.312500      1632.00
  28.437500      1128.00
  28.562500      1616.00
  28.687500      1384.00
  28.812500      2184.00
  28.937500      3512.00
  29.062500      2344.00
  29.187500      1680.00
  29.312500      704.000
  29.437500      784.000
  29.562500      1392.00
  29.687500      1256.00
  29.812500      1520.00
  29.937500      1272.00
  30.062500      2456.00
  30.187500      3240.00
  30.312500      1960.00
  30.437500      2144.00
  30.562500      680.000
  30.687500      1072.00
  30.812500      1424.00
  30.937500      1024.00
  31.062500      1344.00
  31.187500      1248.00
  31.312500      2416.00
  31.437500      2888.00
  31.562500      1712.00
  31.687500      1704.00
  31.812500      776.000
  31.937500      984.000
  32.062500      1200.00
  32.187500      1168.00
  32.312500      1216.00
  32.437500      1536.00
  32.562500      2736.00
  32.687500      2816.00
  32.812500      1696.00
  32.937500      2232.00
  33.062500      800.000
  33.187500      880.000
